provider_community,provider_npi,providername,grouping,classification,specialization,org_npi,organization_name,patient_count,transaction_count,average_day_wait,std_day_wait,hospital_community,owning_entity,org_address,org_location,latitude,longitude,color,specialization_cleaned
1374,1003813874,KEITH WEBB,Allopathic & Osteopathic Physicians,Internal Medicine,,1518346469,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",442,815,5.293,25.236,1374,Ascension Saint Thomas,"1559 Sparta St, McMinnville, TN 37110","St Thomas River Park Hospital, 1559, Sparta Street, McMinnville, Warren County, Middle Tennessee, Tennessee, 37110, United States",35.6998452,-85.742835,green,Internal Medicine
1374,1003813874,KEITH WEBB,Allopathic & Osteopathic Physicians,Internal Medicine,,1710368220,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",119,234,2.88,18.189,1374,Ascension Saint Thomas,"1559 Sparta St, McMinnville, TN 37110","St Thomas River Park Hospital, 1559, Sparta Street, McMinnville, Warren County, Middle Tennessee, Tennessee, 37110, United States",35.6998452,-85.742835,green,Internal Medicine
1374,1003813874,KEITH WEBB,Allopathic & Osteopathic Physicians,Internal Medicine,,1508247016,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",384,835,2.339,16.804,1374,Ascension Saint Thomas,"1559 Sparta St, McMinnville, TN 37110","St Thomas River Park Hospital, 1559, Sparta Street, McMinnville, Warren County, Middle Tennessee, Tennessee, 37110, United States",35.6998452,-85.742835,green,Internal Medicine
1374,1003813874,KEITH WEBB,Allopathic & Osteopathic Physicians,Internal Medicine,,1912388422,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",73,173,3.04,19.876,1374,Ascension Saint Thomas,"1559 Sparta St, McMinnville, TN 37110","St Thomas River Park Hospital, 1559, Sparta Street, McMinnville, Warren County, Middle Tennessee, Tennessee, 37110, United States",35.6998452,-85.742835,green,Internal Medicine
1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1538114434,HENDERSONVILLE HOSPITAL CORPORATION,83,115,49.513,67.146,1336,HCA Healthcare,"355 New Shackle Island Rd, Hendersonville, TN 37075","TriStar Hendersonville, 355, New Shackle Island Road, Glen Oaks, Hendersonville, Sumner County, Middle Tennessee, Tennessee, 37075, United States",36.3254227,-86.6227582,darkpurple,Cardiovascular Disease
1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1265445506,WILLIAMSON COUNTY HOSPITAL DISTRICT,23,52,29.519,49.279,1381,Williamson County Hospital District,"4321 Carothers Parkway, Franklin, TN 37067","Williamson Medical Center, 4321, Carothers Parkway, Franklin, Williamson County, Middle Tennessee, Tennessee, 37067, United States",35.9163458,-86.8202183,pink,Cardiovascular Disease
1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1780778969,SAINT THOMAS WEST HOSPITAL,514,673,9.514,33.688,1353,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Cardiovascular Disease
1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1669567897,NORTHCREST MEDICAL CENTER,32,52,38.788,62.297,1336,HCA Healthcare,"100 NorthCrest Dr, Springfield, TN 37172","Northcrest Medical Center, 100, Northcrest Drive, Springfield, Robertson County, Middle Tennessee, Tennessee, 37172, United States",36.4788508,-86.8865094,darkpurple,Cardiovascular Disease
1353,1003819277,JOHN CAGE,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,76,121,38.628,52.763,1336,LifePoint Health,"555 Hartsville Pike, Gallatin, TN 37066","Summer Regional Medical Center, 555, Hartsville Pike, Gallatin, Sumner County, Middle Tennessee, Tennessee, 37066, United States",36.3897223,-86.4336503,darkred,Cardiovascular Disease
1374,1003854258,KEITH YOUNG,Allopathic & Osteopathic Physicians,Family Medicine,,1447639398,"SAINT THOMAS STONES RIVER HOSPITAL, LLC",113,123,7.016,28.206,1374,Ascension Saint Thomas,"324 Doolittle Rd, Woodbury, TN 37190","Saint Thomas Stones River Hospital, 324, Doolittle Road, Woodbury, Cannon County, Middle Tennessee, Tennessee, 37190, United States",35.8329005,-86.0720264,green,Family Medicine
1337,1003860982,CHRISTI WITHERSPOON,Allopathic & Osteopathic Physicians,Internal Medicine,,1982650024,"HCA HEALTH SERVICES OF TENNESSEE, INC.",133,212,23.34,39.767,1337,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Internal Medicine
1337,1003860982,CHRISTI WITHERSPOON,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,33,60,31.267,36.033,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Internal Medicine
1332,1003876236,KARL KUHN,Allopathic & Osteopathic Physicians,Internal Medicine,Pulmonary Disease,1720032345,"HCA HEALTH SERVICES OF TENNESSEE, INC.",357,672,16.321,40.419,1332,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Pulmonary Disease
1337,1003897380,ROBERT GASTON,Allopathic & Osteopathic Physicians,Family Medicine,,1982650024,"HCA HEALTH SERVICES OF TENNESSEE, INC.",393,722,24.035,42.049,1337,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Family Medicine
1337,1003897380,ROBERT GASTON,Allopathic & Osteopathic Physicians,Family Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,66,106,38.123,49.166,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Family Medicine
1359,1003903139,JASON PEREIRA,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,413,1104,1.535,12.127,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Internal Medicine
1359,1013092089,DAVID ARONOFF,Allopathic & Osteopathic Physicians,Internal Medicine,Infectious Disease,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,64,65,10.308,14.597,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Infectious Disease
1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1417938846,"MACON COUNTY GENERAL HOSPITAL, INC.",121,151,34.874,53.821,1336,LifePoint Health,"305 West Locust Street, Lafayette, Tennessee 37083","305, West Locust Street, Lafayette, Macon County, Middle Tennessee, Tennessee, 37083, United States",36.5195573,-86.0269343,darkred,Interventional Cardiology
1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1538114434,HENDERSONVILLE HOSPITAL CORPORATION,1057,1512,9.465,33.236,1336,HCA Healthcare,"355 New Shackle Island Rd, Hendersonville, TN 37075","TriStar Hendersonville, 355, New Shackle Island Road, Glen Oaks, Hendersonville, Sumner County, Middle Tennessee, Tennessee, 37075, United States",36.3254227,-86.6227582,darkpurple,Interventional Cardiology
1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",197,209,45.148,65.251,1340,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Interventional Cardiology
1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1285644237,"SUMNER REGIONAL HEALTH SYSTEMS, INC",57,62,49.21,73.589,1336,LifePoint Health,"555 Hartsville Pike, Gallatin, TN 37066","Summer Regional Medical Center, 555, Hartsville Pike, Gallatin, Sumner County, Middle Tennessee, Tennessee, 37066, United States",36.3897223,-86.4336503,darkred,Interventional Cardiology
1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1669567897,NORTHCREST MEDICAL CENTER,440,633,11.946,33.216,1336,HCA Healthcare,"100 NorthCrest Dr, Springfield, TN 37172","Northcrest Medical Center, 100, Northcrest Drive, Springfield, Robertson County, Middle Tennessee, Tennessee, 37172, United States",36.4788508,-86.8865094,darkpurple,Interventional Cardiology
1336,1013179860,GARY YAWN,Allopathic & Osteopathic Physicians,Internal Medicine,Interventional Cardiology,1447571658,SUMNER REGIONAL MEDICAL CENTER LLC,588,809,23.34,52.496,1336,LifePoint Health,"555 Hartsville Pike, Gallatin, TN 37066","Summer Regional Medical Center, 555, Hartsville Pike, Gallatin, Sumner County, Middle Tennessee, Tennessee, 37066, United States",36.3897223,-86.4336503,darkred,Interventional Cardiology
1332,1013902782,ROBERT BISHOP,Allopathic & Osteopathic Physicians,Family Medicine,,1720032345,"HCA HEALTH SERVICES OF TENNESSEE, INC.",247,708,3.775,14.196,1332,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Family Medicine
1332,1013902782,ROBERT BISHOP,Allopathic & Osteopathic Physicians,Family Medicine,,1124065255,"HCA HEALTH SERVICES OF TENNESSEE, INC.",96,100,0.33,2.331,1332,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Family Medicine
1332,1013902782,ROBERT BISHOP,Allopathic & Osteopathic Physicians,Family Medicine,,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",47,59,28.153,33.49,1340,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Family Medicine
1338,1013908730,JOSEPH PARKER,Allopathic & Osteopathic Physicians,Internal Medicine,Gastroenterology,1629025648,SAINT THOMAS WEST HOSPITAL,504,765,10.481,39.052,1338,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Gastroenterology
1338,1013908730,JOSEPH PARKER,Allopathic & Osteopathic Physicians,Internal Medicine,Gastroenterology,1780778969,SAINT THOMAS WEST HOSPITAL,251,263,20.631,52.228,1353,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Gastroenterology
1338,1013908730,JOSEPH PARKER,Allopathic & Osteopathic Physicians,Internal Medicine,Gastroenterology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,79,86,48.36,56.903,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Gastroenterology
1359,1013936079,JIGAR SHAH,Allopathic & Osteopathic Physicians,Internal Medicine,Hematology & Oncology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,76,120,30.233,34.417,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Hematology & Oncology
1338,1013957976,GARY MCDONALD,Allopathic & Osteopathic Physicians,Internal Medicine,,1629025648,SAINT THOMAS WEST HOSPITAL,212,357,24.434,41.236,1338,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Internal Medicine
1338,1013957976,GARY MCDONALD,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,47,66,43.53,50.718,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Internal Medicine
1374,1013958776,AHMAD ABU-HALIMAH,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1164590386,SAINT THOMAS RUTHERFORD HOSPITAL,456,628,40.586,61.295,1374,Ascension Saint Thomas,"1700 Medical Center Pkwy, Murfreesboro, TN 37129","Saint Thomas Rutherford Hospital, 1700, Medical Center Parkway, Battleground Estates, Murfreesboro, Rutherford County, Middle Tennessee, Tennessee, 37129, United States",35.8607444,-86.4243634,green,Cardiovascular Disease
1374,1013958776,AHMAD ABU-HALIMAH,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,595,841,23.885,44.106,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Cardiovascular Disease
1332,1023000999,CLARA WOMACK,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1720032345,"HCA HEALTH SERVICES OF TENNESSEE, INC.",272,782,8.684,23.652,1332,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Nephrology
1332,1023000999,CLARA WOMACK,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1629025648,SAINT THOMAS WEST HOSPITAL,207,249,6.9,26.166,1338,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Nephrology
1332,1023000999,CLARA WOMACK,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",95,150,34.433,49.326,1340,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Nephrology
1332,1023000999,CLARA WOMACK,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1780778969,SAINT THOMAS WEST HOSPITAL,62,77,35.104,46.479,1353,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Nephrology
1332,1023000999,CLARA WOMACK,Allopathic & Osteopathic Physicians,Internal Medicine,Nephrology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,64,108,38.565,43.613,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Nephrology
1353,1023009818,ROBERT LEDFORD,Allopathic & Osteopathic Physicians,Internal Medicine,,1780778969,SAINT THOMAS WEST HOSPITAL,65,91,41.462,53.395,1353,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Internal Medicine
1374,1023019429,BRYAN CHASTAIN,Allopathic & Osteopathic Physicians,Family Medicine,,1164590386,SAINT THOMAS RUTHERFORD HOSPITAL,90,111,34.784,51.904,1374,Ascension Saint Thomas,"1700 Medical Center Pkwy, Murfreesboro, TN 37129","Saint Thomas Rutherford Hospital, 1700, Medical Center Parkway, Battleground Estates, Murfreesboro, Rutherford County, Middle Tennessee, Tennessee, 37129, United States",35.8607444,-86.4243634,green,Family Medicine
1374,1023019429,BRYAN CHASTAIN,Allopathic & Osteopathic Physicians,Family Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,39,71,23.324,29.0,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Family Medicine
1374,1023019429,BRYAN CHASTAIN,Allopathic & Osteopathic Physicians,Family Medicine,,1518346469,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",366,602,23.658,41.822,1374,Ascension Saint Thomas,"1559 Sparta St, McMinnville, TN 37110","St Thomas River Park Hospital, 1559, Sparta Street, McMinnville, Warren County, Middle Tennessee, Tennessee, 37110, United States",35.6998452,-85.742835,green,Family Medicine
1374,1023019429,BRYAN CHASTAIN,Allopathic & Osteopathic Physicians,Family Medicine,,1508247016,"SAINT THOMAS RIVER PARK HOSPITAL, LLC",103,129,29.124,57.86,1374,Ascension Saint Thomas,"1559 Sparta St, McMinnville, TN 37110","St Thomas River Park Hospital, 1559, Sparta Street, McMinnville, Warren County, Middle Tennessee, Tennessee, 37110, United States",35.6998452,-85.742835,green,Family Medicine
1338,1023065232,TIMOTHY DIBBLE,Allopathic & Osteopathic Physicians,Internal Medicine,,1629025648,SAINT THOMAS WEST HOSPITAL,163,245,31.147,45.013,1338,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Internal Medicine
1338,1023065232,TIMOTHY DIBBLE,Allopathic & Osteopathic Physicians,Internal Medicine,,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,41,60,39.417,57.19,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Internal Medicine
1374,1023076882,DAVID OURS,Allopathic & Osteopathic Physicians,Family Medicine,,1164590386,SAINT THOMAS RUTHERFORD HOSPITAL,76,116,34.293,49.735,1374,Ascension Saint Thomas,"1700 Medical Center Pkwy, Murfreesboro, TN 37129","Saint Thomas Rutherford Hospital, 1700, Medical Center Parkway, Battleground Estates, Murfreesboro, Rutherford County, Middle Tennessee, Tennessee, 37129, United States",35.8607444,-86.4243634,green,Family Medicine
1359,1023100435,KENNETH WYMAN,Allopathic & Osteopathic Physicians,Internal Medicine,Medical Oncology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,124,248,0.831,6.91,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Medical Oncology
1340,1023103462,THOMAS JOHNSTON,Allopathic & Osteopathic Physicians,Internal Medicine,Advanced Heart Failure and Transplant Cardiology,1538114434,HENDERSONVILLE HOSPITAL CORPORATION,45,60,49.917,57.383,1336,HCA Healthcare,"355 New Shackle Island Rd, Hendersonville, TN 37075","TriStar Hendersonville, 355, New Shackle Island Road, Glen Oaks, Hendersonville, Sumner County, Middle Tennessee, Tennessee, 37075, United States",36.3254227,-86.6227582,darkpurple,Advanced Heart Failure and Transplant Cardiology
1340,1023103462,THOMAS JOHNSTON,Allopathic & Osteopathic Physicians,Internal Medicine,Advanced Heart Failure and Transplant Cardiology,1023055126,"HCA HEALTH SERVICES OF TENNESSEE, INC.",1280,2264,4.68,22.656,1340,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Advanced Heart Failure and Transplant Cardiology
1340,1023103462,THOMAS JOHNSTON,Allopathic & Osteopathic Physicians,Internal Medicine,Advanced Heart Failure and Transplant Cardiology,1932146032,"HCA HEALTH SERVICES OF TENNESSEE, INC.",96,117,17.103,40.915,1340,HCA Healthcare,"1 Park Plaza, Nashville, TN 37203","Park Plaza, Nashville, Davidson County, Middle Tennessee, Tennessee, 37203, United States",36.1509307,-86.8166674,darkpurple,Advanced Heart Failure and Transplant Cardiology
1374,1023157195,VISHANT SHAH,Allopathic & Osteopathic Physicians,Internal Medicine,,1164590386,SAINT THOMAS RUTHERFORD HOSPITAL,463,962,0.05,1.454,1374,Ascension Saint Thomas,"1700 Medical Center Pkwy, Murfreesboro, TN 37129","Saint Thomas Rutherford Hospital, 1700, Medical Center Parkway, Battleground Estates, Murfreesboro, Rutherford County, Middle Tennessee, Tennessee, 37129, United States",35.8607444,-86.4243634,green,Internal Medicine
1359,1023165909,LAURA GOFF,Allopathic & Osteopathic Physicians,Internal Medicine,Hematology & Oncology,1396882205,VANDERBILT UNIVERSITY MEDICAL CENTER,247,683,0.568,2.709,1359,Vanderbilt University Medical Center,"1211 Medical Center Dr, Nashville, TN 37232","Vanderbilt University Medical Center, 1211, Medical Center Drive, Nashville, Davidson County, Middle Tennessee, Tennessee, 37232, United States",36.1409238,-86.8016342,lightblue,Hematology & Oncology
1338,1023205531,GREGG SHEPARD,Allopathic & Osteopathic Physicians,Internal Medicine,Hematology & Oncology,1629025648,SAINT THOMAS WEST HOSPITAL,271,497,19.485,40.361,1338,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Hematology & Oncology
1338,1023205531,GREGG SHEPARD,Allopathic & Osteopathic Physicians,Internal Medicine,Hematology & Oncology,1780778969,SAINT THOMAS WEST HOSPITAL,59,76,31.5,45.885,1353,Ascension Saint Thomas,"4220 Harding Pike, Nashville, TN 37205","Saint Thomas West Hospital, 4220, Harding Pike, Nashville, Davidson County, Middle Tennessee, Tennessee, 37205, United States",36.1296963,-86.8446452,green,Hematology & Oncology
